feature,value
200725_x_at,0.7981966734
200726_at,0.7981673479
200727_s_at,0.7981454730
200728_at,0.7982527018
200729_s_at,0.7982360721
200730_s_at,0.7982196212
200731_s_at,0.7982187867
200732_s_at,0.7982615829
200733_s_at,0.7982337475
200734_s_at,0.7982210517
200735_x_at,0.7981867790
200736_s_at,0.7981803417
200737_at,0.7981901765
200738_s_at,0.7982274890
200739_s_at,0.7981487513
200740_s_at,0.7981181741
200741_s_at,0.7982267737
200742_s_at,0.7981275320
200743_s_at,0.7981847525
200744_s_at,0.7982013822
200745_s_at,0.7981532812
200746_s_at,0.7981353998
200747_s_at,0.7981721163
200748_s_at,0.7982150316
200749_at,0.7982274294
200750_s_at,0.7981815338
200751_s_at,0.7981881499
200752_s_at,0.7982208729
200753_x_at,0.7982420921
200754_x_at,0.7982181907
200755_s_at,0.7981909513
200756_x_at,0.7983729243
200757_s_at,0.7981829643
200758_s_at,0.7982066274
200759_x_at,0.7982428074
200760_s_at,0.7982077003
200761_s_at,0.7982079983
200762_at,0.7982405424
200763_s_at,0.7981725335
200764_s_at,0.7981978655
200765_x_at,0.7980901003
200766_at,0.7981937528
200767_s_at,0.7981966138
200768_s_at,0.7982100248
200769_s_at,0.7982413173
200770_s_at,0.7980694175
200771_at,0.7981280088
200772_x_at,0.7982062101
200773_x_at,0.7982473373
200774_at,0.7982229590
200775_s_at,0.7982234955
200776_s_at,0.7981510758
200777_s_at,0.7982077003
200778_s_at,0.7981860638
200779_at,0.7981725335
200780_x_at,0.7980611324
200781_s_at,0.7981993556
200782_at,0.7982637882
200783_s_at,0.7981641293
200784_s_at,0.7982074022
200785_s_at,0.7983383536
200786_at,0.7981863618
200787_s_at,0.7981877327
200788_s_at,0.7981425524
200789_at,0.7982060313
200790_at,0.7983008623
200791_s_at,0.7982401252
200792_at,0.7981321216
200793_s_at,0.7981997728
200794_x_at,0.7982518673
200795_at,0.7982903123
200796_s_at,0.7982474566
200797_s_at,0.7983263135
200798_x_at,0.7982541323
200799_at,0.7981264591
200800_s_at,0.7981571555
200801_x_at,0.7982159257
200802_at,0.7982101440
200803_s_at,0.7982106805
200804_at,0.7982147336
200805_at,0.7981743813
200806_s_at,0.7981716394
200807_s_at,0.7983340621
200808_s_at,0.7982015610
200809_x_at,0.7982035875
200810_s_at,0.7982801795
200811_at,0.7981644273
200812_at,0.7981898785
200813_s_at,0.7983907461
200814_at,0.7981982827
200815_s_at,0.7982592583
200816_s_at,0.7982475162
200817_x_at,0.7982041240
200818_at,0.7982090712
200819_s_at,0.7981756330
200820_at,0.7981835008
200821_at,0.7981204391
200822_x_at,0.7981963754
200823_x_at,0.7981970906
200824_at,0.7982684970
200825_s_at,0.7981631160
200826_at,0.7981408834
200827_at,0.7981913090
200828_s_at,0.7982284427
200829_x_at,0.7981890440
200830_at,0.7981268764
200831_s_at,0.7981389761
200832_s_at,0.7980867028
200833_s_at,0.7983022332
200834_s_at,0.7981848121
200835_s_at,0.7981634736
200836_s_at,0.7981423140
200837_at,0.7980576754
200838_at,0.7981846929
200839_s_at,0.7981475592
200840_at,0.7982845902
200841_s_at,0.7984530926
200842_s_at,0.7984015346
200843_s_at,0.7981904149
200844_s_at,0.7982566953
200845_s_at,0.7982962728
200846_s_at,0.7982100844
200847_s_at,0.7982704639
200848_at,0.7981954813
200849_s_at,0.7982530594
200850_s_at,0.7981999516
200851_s_at,0.7982165813
200852_x_at,0.7982317209
200853_at,0.7981694937
200854_at,0.7981554866
200855_at,0.7981997728
200856_x_at,0.7981204987
200857_s_at,0.7981823683
200858_s_at,0.7982141376
200859_x_at,0.7982301712
200860_s_at,0.7981964946
200861_at,0.7986143827
200862_at,0.7981313467
200863_s_at,0.7980667949
200864_s_at,0.7982186675
200865_at,0.7981989384
200866_s_at,0.7981593013
200867_at,0.7981967330
200868_s_at,0.7981318831
200869_at,0.7980905771
200870_at,0.7982017398
200871_s_at,0.7981466055
200872_at,0.7981933355
200873_s_at,0.7981544137
200874_s_at,0.7980997562
200875_s_at,0.7982773781
200876_s_at,0.7982531190
200877_at,0.7981904745
200878_at,0.7982619405
200879_s_at,0.7982209921
200880_at,0.7982293963
200881_s_at,0.7982462645
200882_s_at,0.7980011702
200883_at,0.7982121706
200884_at,0.7982040048
200885_at,0.7981346250
200886_s_at,0.7981693745
200887_s_at,0.7983442545
200888_s_at,0.7981410623
200889_s_at,0.7982243896
200890_s_at,0.7982525826
200891_s_at,0.7982403040
200892_s_at,0.7982235551
200893_at,0.7982219458
200894_s_at,0.7983416319
200895_s_at,0.7981759310
200896_x_at,0.7981545329
200897_s_at,0.7982129455
200898_s_at,0.7981326580
200899_s_at,0.7981383801
200900_s_at,0.7982068062
200901_s_at,0.7982603908
200902_at,0.7982049584
200903_s_at,0.7981358767
200904_at,0.7981811166
200905_x_at,0.7981667519
200906_s_at,0.7982342839
200907_s_at,0.7982100248
200908_s_at,0.7982196212
200909_s_at,0.7981914282
200910_at,0.7981562614
200911_s_at,0.7982209921
200912_s_at,0.7982502580
200913_at,0.7982399464
200914_x_at,0.7982603908
200915_x_at,0.7981845737
200916_at,0.7981290221
200917_s_at,0.7984618545
200918_s_at,0.7982085943
200919_at,0.7981829047
200920_s_at,0.7981974483
200921_s_at,0.7982557416
200922_at,0.7981536984
200923_at,0.7980926633
200924_s_at,0.7982996702
200925_at,0.7981866598
200926_at,0.7981573343
200927_s_at,0.7981718779
200928_s_at,0.7981989384
200929_at,0.7981915474
200930_s_at,0.7981964350
200931_s_at,0.7982513905
200932_s_at,0.7981325388
200933_x_at,0.7981384993
200934_at,0.7982074618
200935_at,0.7981876135
200936_at,0.7981766462
200937_s_at,0.7981995344
200938_s_at,0.7982950807
200939_s_at,0.7981994748
200940_s_at,0.7982050776
200941_at,0.7982076406
200942_s_at,0.7981908321
200943_at,0.7981463671
200944_s_at,0.7981923819
200945_s_at,0.7982091904
200946_x_at,0.7983033061
200947_s_at,0.7983784080
200948_at,0.7981544733
200949_x_at,0.7981988192
200950_at,0.7982998490
200951_s_at,0.7982090712
200952_s_at,0.7981976867
200953_s_at,0.7981970906
200954_at,0.7981839180
200955_at,0.7981796861
200956_s_at,0.7981482744
200957_s_at,0.7981999516
200958_s_at,0.7981854677
200959_at,0.7982209921
200960_x_at,0.7981945872
200961_at,0.7981870770
200962_at,0.7981893420
200963_x_at,0.7982089520
200964_at,0.7981954217
200965_s_at,0.7982294559
200966_x_at,0.7981482744
200967_at,0.7981763482
200968_s_at,0.7981119752
200969_at,0.7981776595
200970_s_at,0.7982179523
200971_s_at,0.7983100414
200972_at,0.7982025743
200973_s_at,0.7981854081
200974_at,0.7982237339
200975_at,0.7981803417
200976_s_at,0.7981441617
200977_s_at,0.7982109785
200978_at,0.7982384562
200979_at,0.7982410789
200980_s_at,0.7982167602
200981_x_at,0.7980854511
200982_s_at,0.7982488871
200983_x_at,0.7981696129
200984_s_at,0.7981756330
200985_s_at,0.7981838584
200986_at,0.7981696129
200987_x_at,0.7981469035
200988_s_at,0.7981570959
200989_at,0.7981975079
200990_at,0.7981911302
200991_s_at,0.7982740998
200992_at,0.7981610894
200993_at,0.7981783748
200994_at,0.7982308865
200995_at,0.7982968688
200996_at,0.7982189059
200997_at,0.7982336879
200998_s_at,0.7981524467
200999_s_at,0.7980134487
201000_at,0.7982282043
201001_s_at,0.7981907129
201002_s_at,0.7981125712
201003_x_at,0.7980938554
201004_at,0.7981765270
201005_at,0.7981517315
201006_at,0.7982147932
201007_at,0.7981713414
201008_s_at,0.7982155681
201009_s_at,0.7981030345
201010_s_at,0.7982004285
201011_at,0.7981695533
201012_at,0.7981962562
201013_s_at,0.7981879115
201014_s_at,0.7981923223
201015_s_at,0.7982593179
201016_at,0.7981985211
201017_at,0.7981946468
201018_at,0.7981957197
201019_s_at,0.7981943488
201020_at,0.7981474400
201021_s_at,0.7981879711
201022_s_at,0.7982184887
201023_at,0.7982050180
201024_x_at,0.7981830835
201025_at,0.7981632352
201026_at,0.7982301712
201027_s_at,0.7981716394
201028_s_at,0.7982060909
201029_s_at,0.7981843352
201030_x_at,0.7982577085
201031_s_at,0.7982199788
201032_at,0.7981570363
201033_x_at,0.7981330156
201034_at,0.7981987000
201035_s_at,0.7982198000
201036_s_at,0.7981622219
201037_at,0.7981932163
201038_s_at,0.7982025743
201039_s_at,0.7982361913
201040_at,0.7982130647
201041_s_at,0.7981991172
201042_at,0.7983975410
201043_s_at,0.7982267141
201044_x_at,0.7982348204
201045_s_at,0.7981481552
201046_s_at,0.7981400490
201047_x_at,0.7983513474
201048_x_at,0.7982390523
201049_s_at,0.7981838584
201050_at,0.7982271910
201051_at,0.7980804443
201052_s_at,0.7981787324
201053_s_at,0.7981718779
201054_at,0.7981807590
201055_s_at,0.7981659770
201056_at,0.7981799245
201057_s_at,0.7984055877
201058_s_at,0.7982617021
201059_at,0.7980282903
201060_x_at,0.7983381748
201061_s_at,0.7982617617
201062_at,0.7981656194
201063_at,0.7982280850
201064_s_at,0.7981618643
201065_s_at,0.7981814146
201066_at,0.7982082367
201067_at,0.7982497811
201068_s_at,0.7982044220
201069_at,0.7982654572
201070_x_at,0.7982789874
201071_x_at,0.7982255816
201072_s_at,0.7982627153
201073_s_at,0.7980968952
201074_at,0.7980242968
201075_s_at,0.7980339527
201076_at,0.7983130813
201077_s_at,0.7981994152
201078_at,0.7981842756
201079_at,0.7981879115
201080_at,0.7982960939
201081_s_at,0.7982148528
201082_s_at,0.7981827259
201083_s_at,0.7982127070
201084_s_at,0.7981659174
201085_s_at,0.7982283831
201086_x_at,0.7982424498
201087_at,0.7980908751
201088_at,0.7982663512
201089_at,0.7982063293
201090_x_at,0.7981407642
201091_s_at,0.7981727123
201092_at,0.7981629968
201093_x_at,0.7983063459
201094_at,0.7981606126
201095_at,0.7981808186
201096_s_at,0.7982147336
201097_s_at,0.7982608080
201098_at,0.7982228994
201099_at,0.7982244492
201100_s_at,0.7982359529
201101_s_at,0.7982968092
201102_s_at,0.7982692122
201103_x_at,0.7981994152
201104_x_at,0.7982284427
201105_at,0.7982266545
201106_at,0.7981917262
201107_s_at,0.7981384397
201108_s_at,0.7984554768
201109_s_at,0.7983962297
201110_s_at,0.7983219028
201111_at,0.7981055379
201112_s_at,0.7981982231
201113_at,0.7981804609
201114_x_at,0.7980824709
201115_at,0.7981714010
201116_s_at,0.7981101274
201117_s_at,0.7981908917
201118_at,0.7982001901
201119_s_at,0.7981338501
201120_s_at,0.7981581688
201121_s_at,0.7982193232
201122_x_at,0.7982250452
201123_s_at,0.7981895804
201124_at,0.7982140183
201125_s_at,0.7981349826
201126_s_at,0.7981791496
201127_s_at,0.7979725003
201128_s_at,0.7981572747
201129_at,0.7982508540
201130_s_at,0.7982571721
201131_s_at,0.7982698083
201132_at,0.7982140183
201133_s_at,0.7982183099
201134_x_at,0.7981619239
201135_at,0.7981703281
201136_at,0.7981246710
201137_s_at,0.7982662320
201138_s_at,0.7981463075
201139_s_at,0.7982126474
201140_s_at,0.7984072566
201141_at,0.7983492613
201142_at,0.7981477380
201143_s_at,0.7982377410
201144_s_at,0.7982202768
201145_at,0.7982187867
201146_at,0.7981311083
201147_s_at,0.7981940508
201148_s_at,0.7982701063
201149_s_at,0.7983292341
201150_s_at,0.7982438207
201151_s_at,0.7982132435
201152_s_at,0.7982428670
201153_s_at,0.7982101440
201154_x_at,0.7982007265
201155_s_at,0.7981686592
201156_s_at,0.7981920838
201157_s_at,0.7982339263
201158_at,0.7980964184
201159_s_at,0.7982715964
201160_s_at,0.7982528210
201161_s_at,0.7982684970
201162_at,0.7984084487
201163_s_at,0.7982102036
201164_s_at,0.7981820703
201165_s_at,0.7981922030
201166_s_at,0.7981904745
201167_x_at,0.7981393933
201168_x_at,0.7982017398
201169_s_at,0.7981595993
201170_s_at,0.7981616855
201171_at,0.7983331084
201172_x_at,0.7981030345
201173_x_at,0.7982094288
201174_s_at,0.7982205749
201175_at,0.7981458902
201176_s_at,0.7981637716
201177_s_at,0.7982072830
201178_at,0.7981836796
201179_s_at,0.7982230186
201180_s_at,0.7981834412
201181_at,0.7981941700
201182_s_at,0.7983900309
201183_s_at,0.7982887626
201184_s_at,0.7981556654
201185_at,0.7983614206
201186_at,0.7981491089
201187_s_at,0.7982690930
201188_s_at,0.7981482148
201189_s_at,0.7982289195
201190_s_at,0.7982450724
201191_at,0.7982224822
201192_s_at,0.7982400656
201193_at,0.7981866598
201194_at,0.7983152866
201195_s_at,0.7984061837
201196_s_at,0.7982207537
201197_at,0.7982697487
201198_s_at,0.7981606126
201199_s_at,0.7982128859
201200_at,0.7982365489
201201_at,0.7980597019
201202_at,0.7981753349
201203_s_at,0.7982115746
201204_s_at,0.7982236147
201205_at,0.7981684208
201206_s_at,0.7982395887
201207_at,0.7982918620
201208_s_at,0.7983289957
201209_at,0.7981752157
201210_at,0.7982146144
201211_s_at,0.7981546521
201212_at,0.7981447577
201213_at,0.7983143926
201214_s_at,0.7982250452
201215_at,0.7982847095
201216_at,0.7981730700
201217_x_at,0.7982417941
201218_at,0.7981950641
201219_at,0.7981722355
201220_x_at,0.7981771231
201221_s_at,0.7981886268
201222_s_at,0.7981874347
201223_s_at,0.7982361913
201224_s_at,0.7982488275
201225_s_at,0.7982195020
201226_at,0.7981997132
201227_s_at,0.7981655598
201228_s_at,0.7982623577
201229_s_at,0.7982401848
201230_s_at,0.7981753349
201231_s_at,0.7981878519
201232_s_at,0.7982615829
201233_at,0.7981618047
201234_at,0.7982017398
201235_s_at,0.7981508374
201236_s_at,0.7984164357
201237_at,0.7981858253
201238_s_at,0.7981891036
201239_s_at,0.7982178926
201240_s_at,0.7982253432
201241_at,0.7981693745
201242_s_at,0.7981742024
201243_s_at,0.7980792522
201244_s_at,0.7981818318
201245_s_at,0.7981611490
201246_s_at,0.7982290387
201247_at,0.7982730269
201248_s_at,0.7982395291
201249_at,0.7984160185
201250_s_at,0.7981624007
201251_at,0.7981836200
201252_at,0.7982379794
201253_s_at,0.7981967926
201254_x_at,0.7981863618
201255_x_at,0.7981593013
201256_at,0.7982539535
201257_x_at,0.7981947660
201258_at,0.7981346846
201259_s_at,0.7981856465
201260_s_at,0.7982036471
201261_x_at,0.7982402444
201262_s_at,0.7981969118
201263_at,0.7983269691
201264_at,0.7981904149
201265_at,0.7982479334
201266_at,0.7981564403
201267_s_at,0.7981985807
201268_at,0.7981656790
201269_s_at,0.7984279394
201270_x_at,0.7981528044
201271_s_at,0.7981742620
201272_at,0.7983708382
201273_s_at,0.7980901599
201274_at,0.7982910872
201275_at,0.7984782457
201276_at,0.7981492877
201277_s_at,0.7981772423
201278_at,0.7982342839
201279_s_at,0.7981867194
201280_s_at,0.7982620001
201281_at,0.7981833816
201282_at,0.7981068492
201283_s_at,0.7982138395
201284_s_at,0.7981663346
201285_at,0.7982085347
201286_at,0.7981922626
201287_s_at,0.7982041240
201288_at,0.7984611988
201289_at,0.7984422445
201290_at,0.7981939316
201291_s_at,0.7981351614
201292_at,0.7981054187
201293_x_at,0.7981580496
201294_s_at,0.7982696295
201295_s_at,0.7982041240
201296_s_at,0.7981454730
201297_s_at,0.7981532812
201298_s_at,0.7982208729
201299_s_at,0.7982053161
201300_s_at,0.7982044816
201301_s_at,0.7982007265
201302_at,0.7983158827
201303_at,0.7982242107
201304_at,0.7982243299
201305_x_at,0.7982162237
201306_s_at,0.7981277108
201307_at,0.7982001901
201308_s_at,0.7982261181
201309_x_at,0.7981768847
201310_s_at,0.7982251644
201311_s_at,0.7982489467
201312_s_at,0.7982923388
201313_at,0.7982337475
201314_at,0.7981569767
201315_x_at,0.7981279492
201316_at,0.7982199192
201317_s_at,0.7982963324
201318_s_at,0.7982501984
201319_at,0.7981850505
201320_at,0.7982086539
201321_s_at,0.7982005477
201322_at,0.7981979847
201323_at,0.7982164025
201324_at,0.7982173562
201325_s_at,0.7982120514
201326_at,0.7981584668
201327_s_at,0.7981378436
201328_at,0.7982534766
201329_s_at,0.7981977463
201330_at,0.7982015610
201331_s_at,0.7982131243
201332_s_at,0.7983016372
201333_s_at,0.7981567383
201334_s_at,0.7981300354
201335_s_at,0.7982478142
201336_at,0.7982236147
201337_s_at,0.7981396914
201338_x_at,0.7983042002
201339_s_at,0.7983484864
201340_s_at,0.7982096672
201341_at,0.7981897593
201342_at,0.7982204556
201343_at,0.7981010079
201344_at,0.7981570363
201345_s_at,0.7979480624
201346_at,0.7982237935
201347_x_at,0.7981635332
201348_at,0.7982000709
201349_at,0.7982611656
201350_at,0.7983663678
201351_s_at,0.7982043624
201352_at,0.7982096672
201353_s_at,0.7985866070
201354_s_at,0.7982271910
201355_s_at,0.7982972264
201356_at,0.7981863618
201357_s_at,0.7981497645
201358_s_at,0.7981653810
201359_at,0.7982210517
201360_at,0.7982558012
201361_at,0.7982254624
201362_at,0.7982857823
201363_s_at,0.7983291745
201364_s_at,0.7981743217
201365_at,0.7982506156
201366_at,0.7981980443
201367_s_at,0.7981266975
201368_at,0.7982065082
201369_s_at,0.7982195616
201370_s_at,0.7982828021
201371_s_at,0.7982049584
201372_s_at,0.7982477546
201373_at,0.7982422113
201374_x_at,0.7982184291
201375_s_at,0.7982546091
201376_s_at,0.7981519103
201377_at,0.7983769774
201378_s_at,0.7982044220
201379_s_at,0.7981958985
201380_at,0.7980635762
201381_x_at,0.7981675863
201382_at,0.7982633114
201383_s_at,0.7982200980
201384_s_at,0.7982392907
201385_at,0.7982459664
201386_s_at,0.7981839776
201387_s_at,0.7981885672
201388_at,0.7982676029
201389_at,0.7981398106
201390_s_at,0.7981926799
201391_at,0.7981631756
201392_s_at,0.7981808186
201393_s_at,0.7981785536
201394_s_at,0.7981421351
201395_at,0.7982890606
201396_s_at,0.7982468605
201397_at,0.7981834412
201398_s_at,0.7981923819
201399_s_at,0.7982145548
201400_at,0.7981646061
201401_s_at,0.7982841730
201402_at,0.7982357740
201403_s_at,0.7981925607
201404_x_at,0.7982510328
201405_s_at,0.7981282473
201406_at,0.7981693149
201407_s_at,0.7982084751
201408_at,0.7981337309
201409_s_at,0.7981613278
201410_at,0.7982657552
201411_s_at,0.7982621789
201412_at,0.7981726527
201413_at,0.7982187867
201414_s_at,0.7982746959
201415_at,0.7982418537
201416_at,0.7982511520
201417_at,0.7980642915
201418_s_at,0.7982937694
201419_at,0.7981436253
201420_s_at,0.7982942462
201421_s_at,0.7982057333
201422_at,0.7981638312
201423_s_at,0.7982079983
201424_s_at,0.7982174754
201425_at,0.7982710004
201426_s_at,0.7982026935
201427_s_at,0.7982639074
201428_at,0.7981575727
201429_s_at,0.7981657982
201430_s_at,0.7982318401
201431_s_at,0.7982700467
201432_at,0.7982994318
201433_s_at,0.7982373834
201434_at,0.7982954383
201435_s_at,0.7982446551
201436_at,0.7982804775
201437_s_at,0.7981991768
201438_at,0.7982154489
201439_at,0.7981669903
201440_at,0.7982318401
201441_at,0.7981826663
201442_s_at,0.7983214855
201443_s_at,0.7982341647
201444_s_at,0.7981917858
201445_at,0.7982204556
201446_s_at,0.7981618047
201447_at,0.7982460260
201448_at,0.7982265949
201449_at,0.7984266877
201450_s_at,0.7981860638
201451_x_at,0.7981120348
201452_at,0.7982090116
201453_x_at,0.7982258201
201454_s_at,0.7982558012
201455_s_at,0.7981638908
201456_s_at,0.7982270718
201457_x_at,0.7982192636
201458_s_at,0.7981944084
201459_at,0.7981962562
201460_at,0.7982055545
201461_s_at,0.7981992960
201462_at,0.7981683016
201463_s_at,0.7981685996
201464_x_at,0.7982295156
201465_s_at,0.7981573343
201466_s_at,0.7982132435
201467_s_at,0.7982183099
201468_s_at,0.7982239723
201469_s_at,0.7981135249
201470_at,0.7981904745
201471_s_at,0.7981480360
201472_at,0.7981526852
201473_at,0.7982159853
201474_s_at,0.7982759476
201475_x_at,0.7982431054
201476_s_at,0.7981911302
201477_s_at,0.7981606722
201478_s_at,0.7982128263
201479_at,0.7982329130
201480_s_at,0.7982299924
201481_s_at,0.7982146740
201482_at,0.7983692884
201483_s_at,0.7981478572
201484_at,0.7982528210
201485_s_at,0.7981019616
201486_at,0.7982307673
201487_at,0.7981910706
201488_x_at,0.7982641459
201489_at,0.7982173562
201490_s_at,0.7981877327
201491_at,0.7981367707
201492_s_at,0.7981508970
201493_s_at,0.7982152700
201494_at,0.7982994318
201495_x_at,0.7982335091
201496_x_at,0.7982152700
201497_x_at,0.7983012795
201498_at,0.7982755303
201499_s_at,0.7981698513
201500_s_at,0.7981502414
201501_s_at,0.7981519103
201502_s_at,0.7981934547
201503_at,0.7981998920
201504_s_at,0.7982800007
201505_at,0.7982088923
201506_at,0.7983484864
201507_at,0.7982330918
201508_at,0.7982581258
201509_at,0.7982371449
201510_at,0.7982927561
201511_at,0.7981550694
201512_s_at,0.7981920242
201513_at,0.7982130647
201514_s_at,0.7982338667
201515_s_at,0.7982370853
201516_at,0.7982307076
201517_at,0.7982028723
201518_at,0.7980795503
201519_at,0.7982401252
201520_s_at,0.7982549667
201521_s_at,0.7982152104
201522_x_at,0.7982127666
201523_x_at,0.7981426716
201524_x_at,0.7982813120
201525_at,0.7981889844
201526_at,0.7983180285
201527_at,0.7982116342
201528_at,0.7981844544
201529_s_at,0.7981987000
201530_x_at,0.7981510758
